Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency,Transaction Description
2022-10-03 08:58:22.023000,deposits,Sepa Deposit,,,,EUR,,,250.0,,,,250.0,,,
2022-10-03 09:08:40.170000,trades,Buy Trade,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,-73.1,73.104,9.138,8.0,176.9,,,Order Partial Id: e9976cd2-e51c-4a87-ad16-cd67e961df9e - 1
2022-10-03 09:08:40.171000,fees,Trading Fee,NL0011540547,ABN Amro,,EUR,,,-1.5,,,,175.4,,,Order Id: e9976cd2-e51c-4a87-ad16-cd67e961df9e
2022-10-03 09:09:07.512000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-78.51,78.507,8.723,9.0,96.89,,,Order Partial Id: e1f08a19-4527-47f1-827f-aeacd725acb9 - 1
2022-10-03 09:09:07.513000,fees,Trading Fee,NL0011821202,ING,,EUR,,,-1.5,,,,95.39,,,Order Id: e1f08a19-4527-47f1-827f-aeacd725acb9
2022-10-03 09:09:38.251000,fees,Trading Fee,GB00BP6MXD84,Shell,,EUR,,,-1.5,,,,16.07,,,Order Id: 4a41f445-649a-4d1b-9401-619f298768f1
2022-10-03 09:09:38.251000,trades,Buy Trade,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,-77.82,77.82,25.94,3.0,17.57,,,Order Partial Id: 4a41f445-649a-4d1b-9401-619f298768f1 - 1
2022-10-03 09:09:38.336000,trades,Buy Trade,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,-15.18,15.17998424,25.94,0.585196,0.89,,,Order Partial Id: 4a41f445-649a-4d1b-9401-619f298768f1 - 2
2022-11-15 08:11:34.794000,deposits,Sepa Deposit,,,,EUR,,,250.0,,,,250.89,,,
2022-11-15 09:16:04.464000,trades,Buy Trade,IE00B0M62S72,iShares Euro Dividend,EUR,EUR,EUREUR,1.0,-89.84,89.84,17.968,5.0,161.05,,,Order Partial Id: c808850b-abdd-4bc9-a9c9-68752a39e55f - 1
2022-11-15 09:16:04.465000,fees,Trading Fee,IE00B0M62S72,iShares Euro Dividend,,EUR,,,-1.5,,,,159.55,,,Order Id: c808850b-abdd-4bc9-a9c9-68752a39e55f
2022-11-15 09:16:38.104000,fees,Trading Fee,NL0011821202,ING,,EUR,,,-1.5,,,,90.11,,,Order Id: 3803d720-4d78-4988-a4d9-616532a31c22
2022-11-15 09:16:38.104000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-67.94,67.944,11.324,6.0,91.61,,,Order Partial Id: 3803d720-4d78-4988-a4d9-616532a31c22 - 1
2022-11-15 09:16:38.203000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-7.06,7.05599572,11.324,0.623101,83.05,,,Order Partial Id: 3803d720-4d78-4988-a4d9-616532a31c22 - 2
2022-11-15 09:16:56.909000,fees,Trading Fee,NL0011540547,ABN Amro,,EUR,,,-1.5,,,,2.66,,,Order Id: c2f9b930-6b26-47b0-b361-b9770f4144a7
2022-11-15 09:16:56.909000,trades,Buy Trade,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,-78.89,78.89,11.27,7.0,4.16,,,Order Partial Id: c2f9b930-6b26-47b0-b361-b9770f4144a7 - 1
2022-12-08 15:44:59.360000,deposits,Sepa Deposit,,,,EUR,,,250.0,,,,252.66,,,
2022-12-08 15:45:39.478000,trades,Buy Trade,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,-119.05,119.05,11.905,10.0,133.61,,,Order Partial Id: 30be35b0-92d6-4b84-9a09-92da00f204be - 1
2022-12-08 15:45:39.479000,fees,Trading Fee,NL0011540547,ABN Amro,,EUR,,,-1.5,,,,132.11,,,Order Id: 30be35b0-92d6-4b84-9a09-92da00f204be
2022-12-08 15:45:49.686000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-123.27,123.266,11.206,11.0,8.84,,,Order Partial Id: ff8bcfad-8f16-40cb-98ca-7e1dfe3a903f - 1
2022-12-08 15:45:49.688000,fees,Trading Fee,NL0011821202,ING,,EUR,,,-1.5,,,,7.34,,,Order Id: ff8bcfad-8f16-40cb-98ca-7e1dfe3a903f
2022-12-08 15:45:49.813000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-7.34,7.34399778,11.206,0.655363,0.0,,,Order Partial Id: ff8bcfad-8f16-40cb-98ca-7e1dfe3a903f - 2
2022-12-20 14:13:01.444000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,0.85,,,,0.85,,,
2022-12-21 11:05:21.287000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,500.85,,,
2022-12-21 11:07:26.793000,trades,Buy Trade,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,-155.94,155.94,12.995,12.0,344.91,,,Order Partial Id: 66af0d54-f665-45d8-a552-28e2dfbbc56e - 1
2022-12-21 11:07:26.794000,fees,Trading Fee,NL0011540547,ABN Amro,,EUR,,,-1.5,,,,343.41,,,Order Id: 66af0d54-f665-45d8-a552-28e2dfbbc56e
2022-12-21 11:07:40.612000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-149.08,149.084,11.468,13.0,194.33,,,Order Partial Id: 3f37c81d-9f25-4137-b8ae-f666a429b025 - 1
